loss_func,soft,prot,kr,kc,ks,var,smo,loss,jac,f1,prec,rec,std,std_jac,std_f1,std_prec,std_rec
crossentropy,True,half,1.0,True,1.0,False,NA,0.05229,0.5689566666666667,0.6598726666666667,0.691862,0.6552586666666668,0.0008542382571624837,0.007585764452798005,0.010760414133913904,0.0041448005983400725,0.01625293328397468
crossentropy,True,half,1.0,True,1.0,True,NA,0.053174,0.567637,0.659696,0.6968006666666667,0.654954,0.0034078129350068507,0.010897075433344443,0.00843061960949488,0.004782840299793961,0.007562659122292926
crossentropy,True,half,1.0,True,2.0,False,NA,0.05136933333333333,0.5714670000000001,0.6628226666666667,0.6908983333333333,0.6567596666666667,0.00029820183321591624,0.0019304592717796696,0.004423858082413257,0.009264239490283743,0.006955404972633399
crossentropy,True,half,1.0,True,2.0,True,NA,0.052313,0.5684049999999999,0.6592936666666667,0.6906253333333333,0.652664,0.0013660384328414762,0.006850976280793821,0.009608391610115261,0.012745894332424623,0.011861831603930334
crossentropy,True,half,2.0,True,1.0,False,NA,0.05377066666666667,0.561511,0.6517263333333333,0.6873913333333334,0.646268,0.0013126897323180863,0.003406269954069994,0.0008799615521904036,0.009562043209133371,0.006065039076543558
crossentropy,True,half,2.0,True,1.0,True,NA,0.054724999999999996,0.5602476666666667,0.6508090000000001,0.6891769999999999,0.6416143333333334,0.0018001552710808012,0.0026539620067614475,0.002536580178113822,0.011056420171104196,0.003278607224620448
crossentropy,True,half,2.0,True,2.0,False,NA,0.05386066666666667,0.566192,0.6558706666666666,0.682426,0.6511683333333332,0.0004937978668780721,0.0007807310676539298,0.0020621322298372043,0.007225466697729647,0.004654279894176257
crossentropy,True,half,2.0,True,2.0,True,NA,0.05528966666666666,0.564022,0.6545219999999999,0.6837920000000001,0.6467186666666667,0.0003585656611184799,0.00442387081637789,0.006343536947161262,0.01915466533249802,0.0023186984136220547
crossentropy,True,max,1.0,True,1.0,False,NA,0.053232999999999996,0.55694,0.6470093333333333,0.6756679999999999,0.6430936666666667,0.0007335502709426278,0.008706494874517502,0.011179739546757455,0.02695593075744187,0.004629754889120313
crossentropy,True,max,1.0,True,1.0,True,NA,0.05553433333333333,0.5610390000000001,0.6534766666666666,0.6802596666666667,0.6516443333333334,0.0018965263861421338,0.013641533088329914,0.015173036490212932,0.021024236355533413,0.01596066443896786
crossentropy,True,max,1.0,True,2.0,False,NA,0.05346600000000001,0.5589043333333333,0.6480173333333333,0.6726016666666667,0.641337,0.001124727967110267,0.01306224824956765,0.013892114393904675,0.01842728152314748,0.012346383397578447
crossentropy,True,max,1.0,True,2.0,True,NA,0.057089999999999995,0.550571,0.642649,0.6743243333333333,0.6388883333333334,0.00438100308148716,0.018263022668769783,0.015302508062405967,0.009025030987943097,0.007780237614194887
crossentropy,True,max,2.0,True,1.0,False,NA,0.05483866666666667,0.5640216666666666,0.6538406666666667,0.6895483333333333,0.6446086666666666,0.0005234523219294526,0.005849623007795748,0.007334326303985476,0.0018713036454122986,0.00938858702539065
crossentropy,True,max,2.0,True,1.0,True,NA,0.057348,0.5542656666666667,0.6450790000000001,0.6796183333333333,0.6380566666666666,0.0013544641006686007,0.009351132890368624,0.010497908791754669,0.021168308159447553,0.008247449565370683
crossentropy,True,max,2.0,True,2.0,False,NA,0.05799133333333333,0.557191,0.6479050000000001,0.6794923333333333,0.6422466666666667,0.0012827955150113875,0.017329492087190576,0.017778407605857176,0.02469563468172732,0.013151519392577157
crossentropy,True,max,2.0,True,2.0,True,NA,0.06001666666666667,0.549769,0.6431333333333334,0.6826916666666666,0.6339836666666666,0.0005420667240601773,0.006982591854032379,0.008487301475341496,0.011879495121146064,0.0035622858298195825
